2.208000 3.582490 0.441600 [[5306,51,5526,97][5526,97,5756,153][5756,153,5986,194][5986,194,6216,291]]
0.080000 3.070483 0.016000 [[5502,97,5510,97][5510,97,5518,96][5518,96,5526,97][5526,97,5534,99]]
0.691000 3.530144 0.138200 [[5540,100,5615,132][5615,132,5690,150][5690,150,5765,155][5765,155,5840,188]]
0.228000 3.977770 0.045600 [[5914,193,5943,192][5943,192,5972,193][5972,193,6001,205][6001,205,6030,213]]
0.480000 3.168715 0.096000 [[5541,100,5589,120][5589,120,5637,136][5637,136,5685,148][5685,148,5733,148]]
0.820000 3.625815 0.164000 [[5522,96,5615,132][5615,132,5708,147][5708,147,5801,169][5801,169,5894,195]]
0.140000 3.219805 0.028000 [[5443,102,5462,100][5462,100,5481,96][5481,96,5500,97][5500,97,5519,96]]
0.208000 2.847052 0.041600 [[5541,100,5558,106][5558,106,5575,117][5575,117,5592,121][5592,121,5609,130]]
0.094000 3.049220 0.018800 [[5626,135,5637,136][5637,136,5648,136][5648,136,5659,136][5659,136,5670,141]]
0.182000 1.951805 0.036400 [[5456,80,5456,84][5456,84,5456,88][5456,88,5456,92][5456,92,5457,96]]
0.081000 2.598233 0.016200 [[5461,100,5469,98][5469,98,5477,96][5477,96,5485,96][5485,96,5493,97]]
